data,adresas,pasto_kodas,tipas,plotas_m2,kambariai,priklausiniai,kaina_eur,eur_m2,atstumas_m,latitude,longitude,sklypas
2025-01-27,3 RUE DU PROGRES,44330.0,namas,125.0,3.0,0,274500.0,2196.0,153.0,47.160541,-1.268452,44212000AY0555
2024-11-18,10 RUE EMILE GABORY,44330.0,namas,220.0,6.0,1,552000.0,2509.0,155.0,47.161619,-1.2684,44212000AY1506
2022-12-02,6 RUE EMILE GABORY,44330.0,butas,95.0,3.0,1,233000.0,2453.0,156.0,47.161464,-1.268513,44212000AY1315
2025-03-25,5 RTE DE CLISSON,44330.0,namas,118.0,6.0,0,161600.0,1369.0,168.0,47.160569,-1.268675,44212000AY0556
2022-06-30,12 RUE EMILE GABORY,44330.0,namas,104.0,4.0,0,283750.0,2728.0,174.0,47.1618,-1.268545,44212000AY0682
2021-03-15,22 RUE D ANJOU,44330.0,namas,58.0,3.0,0,120000.0,2069.0,176.0,47.161297,-1.264274,44212000AY0298
2021-07-01,26 RUE D ANJOU,44330.0,namas,162.0,4.0,1,443050.0,2735.0,187.0,47.161319,-1.264136,44212000AY0296
2022-08-29,10 CHE DES BUTTES,44330.0,namas,115.0,6.0,0,320000.0,2783.0,194.0,47.159581,-1.268013,44212000AY1541
2021-12-16,20 RUE SAINT CHRISTOPHE,44330.0,namas,117.0,5.0,0,285000.0,2436.0,198.0,47.159253,-1.2669,44212000AY1472
2021-02-18,4 CHE DES BUTTES,44330.0,namas,97.0,5.0,0,200000.0,2062.0,200.0,47.159292,-1.267296,44212000AY1468
2024-07-19,15 RUE SAINT CHRISTOPHE,44330.0,namas,60.0,2.0,0,180000.0,3000.0,202.0,47.159207,-1.266435,44212000ZS0395
2025-08-29,32 RUE DE BAZOGES,44330.0,namas,90.0,4.0,0,180000.0,2000.0,211.0,47.160468,-1.263888,44212000AY0371
2024-12-13,8 AV DU GENERAL HEURTAUX,44330.0,namas,42.0,4.0,1,156000.0,3714.0,215.0,47.161305,-1.269375,44212000AY0045
2024-10-02,7 BD EVARISTE DEJOIE,44330.0,namas,89.0,4.0,1,160000.0,1798.0,216.0,47.16275,-1.265263,44212000AY0959
2024-12-30,12 AV DU GENERAL HEURTAUX,44330.0,namas,38.0,3.0,0,60000.0,1579.0,223.0,47.16134,-1.269467,44212000AY1716
2024-04-30,29 RUE DE BAZOGES,44330.0,namas,36.0,3.0,0,110000.0,3056.0,223.0,47.160599,-1.263675,44212000AY0322
2023-10-02,20 CHE DES BUTTES,44330.0,butas,85.0,3.0,2,255000.0,3000.0,226.0,47.159736,-1.268873,44212000AY0425
2021-09-23,18 AV DU GENERAL HEURTAUX,44330.0,namas,70.0,3.0,0,150000.0,2143.0,229.0,47.16153,-1.269488,44212000AY0037
2023-05-31,8 RTE DE CLISSON,44330.0,namas,110.0,4.0,1,322500.0,2932.0,233.0,47.160274,-1.269431,44212000AY0693
2024-07-18,5 CHE DES BUTTES,44330.0,namas,85.0,5.0,1,120000.0,1412.0,239.0,47.159015,-1.267691,44212000ZS0175
2025-02-20,42 RUE FRANCOIS LUNEAU,44330.0,namas,230.0,9.0,1,420000.0,1826.0,240.0,47.163016,-1.267755,44212000AY1395
2025-04-24,2 RUE SAINT VINCENT,44330.0,namas,49.0,2.0,0,100000.0,2041.0,260.0,47.161089,-1.269997,44212000AY0730
2023-02-28,48 RUE DE BAZOGES,44330.0,namas,123.0,4.0,1,296500.0,2411.0,263.0,47.160215,-1.263287,44212000AY1669
2025-07-01,37 RUE DE BAZOGES,44330.0,namas,65.0,3.0,0,125800.0,1935.0,290.0,47.160243,-1.262903,44212000AY1238
2025-02-25,1 RUE DES ROIS,44330.0,namas,54.0,3.0,0,165000.0,3056.0,291.0,47.160507,-1.262785,44212000AY0981
2022-09-12,3 RUE DES BOURGUIGNONS,44330.0,namas,76.0,3.0,0,353500.0,4651.0,298.0,47.160753,-1.270475,44212000AY0724
2025-07-29,29 RUE EMILE GABORY,44330.0,butas,63.0,3.0,2,245000.0,3889.0,299.0,47.16312,-1.269014,44212000AY1871
2025-11-05,29 RUE EMILE GABORY,44330.0,butas,62.0,3.0,1,235000.0,3790.0,299.0,47.16312,-1.269014,44212000AY1871
2025-12-12,6 RUE CHENEAU,44330.0,namas,78.0,4.0,0,125000.0,1603.0,300.0,47.160926,-1.262598,44212000AY1868
2022-11-09,19 RUE SAINT VINCENT,44330.0,namas,88.0,6.0,1,360000.0,4091.0,307.0,47.160957,-1.270621,44212000AY0727
2023-03-17,10 RUE DE BRETAGNE,44330.0,namas,101.0,3.0,0,392000.0,3881.0,312.0,47.158776,-1.269024,44212000ZS0453
2021-01-25,6 RUE DES ROIS,44330.0,namas,36.0,1.0,0,149000.0,4139.0,314.0,47.160238,-1.262575,44212000AY1725
2023-06-29,23 RUE D ANJOU,44330.0,namas,65.0,2.0,0,141210.0,2172.0,315.0,47.162241,-1.262801,44212000AY1433
