data,adresse,pasto_kodas,tipas,plotas_m2,kambariai,priklausiniai,kaina_eur,eur_m2,atstumas_m,latitude,longitude,sklypas
2021-06-30,70 RUE GAMBETTA,44000.0,butas,90.0,3.0,1,420100.0,4668.0,1119.0,47.22195,-1.542639,44109000ET0376
2021-12-09,70 RUE GAMBETTA,44000.0,butas,37.0,2.0,1,177000.0,4784.0,1119.0,47.22195,-1.542639,44109000ET0376
2024-10-23,1 RUE GAL BUAT,44000.0,butas,36.0,1.0,1,95000.0,2639.0,1120.0,47.233508,-1.535731,44109000BX0639
2021-09-29,1 RUE GAL BUAT,44000.0,butas,40.0,2.0,1,148000.0,3700.0,1120.0,47.233508,-1.535731,44109000BX0639
2022-01-06,1 RUE GAL BUAT,44000.0,butas,46.0,2.0,1,158100.0,3437.0,1120.0,47.233508,-1.535731,44109000BX0639
2023-08-16,1 RUE GAL BUAT,44000.0,butas,81.0,4.0,1,310000.0,3827.0,1120.0,47.233508,-1.535731,44109000BX0639
2021-06-25,1 RUE GAL BUAT,44000.0,butas,63.0,3.0,1,255400.0,4054.0,1120.0,47.233508,-1.535731,44109000BX0639
2023-06-14,6 RUE FREDERIC CAILLIAUD,44000.0,butas,29.0,1.0,1,140000.0,4828.0,1120.0,47.218826,-1.540394,44109000ES0247
2023-01-04,6 RUE FREDERIC CAILLIAUD,44000.0,butas,29.0,1.0,1,94000.0,3241.0,1120.0,47.218826,-1.540394,44109000ES0247
2021-10-07,1 RUE GAL BUAT,44000.0,butas,28.0,1.0,1,125000.0,4464.0,1120.0,47.233508,-1.535731,44109000BX0639
2024-08-14,1 RUE GAL BUAT,44000.0,butas,40.0,2.0,1,150000.0,3750.0,1120.0,47.233508,-1.535731,44109000BX0639
2022-10-13,1 RUE GAL BUAT,44000.0,butas,45.0,2.0,1,155000.0,3444.0,1120.0,47.233508,-1.535731,44109000BX0639
2024-02-02,1 RUE GAL BUAT,44000.0,butas,28.0,1.0,1,102500.0,3661.0,1120.0,47.233508,-1.535731,44109000BX0639
2021-03-03,1 RUE GAL BUAT,44000.0,butas,81.0,4.0,1,278000.0,3432.0,1120.0,47.233508,-1.535731,44109000BX0639
2022-12-16,6 RUE FREDERIC CAILLIAUD,44000.0,butas,78.0,4.0,1,390000.0,5000.0,1120.0,47.218826,-1.540394,44109000ES0247
